0	0	8
0	8	12
0	12	25
0	25	36
0	36	41
0	41	58
0	58	64
0	64	68
0	68	71
0	71	234
0	237	477
0	477	590
0	590	746
0	746	850
0	850	1009
0	1009	1132
0	1132	1261
0	1261	1331
0	1331	1445
0	1607	2260
0	2260	2494
0	2494	2570
0	2570	2614
0	2614	2890
0	2890	3856
0	3856	5310
0	5310	7014
0	7014	7947
0	7947	7995
0	7995	8075
0	8075	8123
0	8214	8556
0	10130	10157
0	10340	10352
0	10361	10448
0	10448	10597
0	10597	10638
0	10638	10670
0	10684	10721
0	10721	10810
0	10850	10896
0	10896	10940
0	11009	11019
0	11161	11207
0	11207	11235
0	11249	11351
0	11351	11396
0	11396	11449
0	11449	11461
0	11461	11510
0	11510	11555
0	11560	11579
0	11722	11738
0	11738	11752
0	11757	11783
0	11783	11826
0	11826	11877
0	11877	12235
0	12235	12276
0	12586	12608
0	12608	12621
0	12666	12705
0	12705	12754
0	12754	12796
0	12796	12833
0	12833	12909
0	12920	13006
0	13006	13046
0	13159	13182
0	13182	13229
0	13229	13287
0	13287	13294
0	13313	13321
0	13321	13330
0	13330	13363
0	13363	13445
0	13445	13522
0	13534	13562
0	13562	13589
0	13627	13650
0	13730	13773
0	13773	13842
0	13842	13843
0	13843	13860
0	13860	14070
0	14248	14284
0	14284	14327
0	14551	14594
0	14594	14617
0	14678	14721
0	14721	14755
0	14755	14782
0	14782	14793
0	14793	14852
0	15025	15072
0	15727	15823
0	15823	15850
0	15850	16015
0	16015	16100
0	16100	16122
0	16256	16308
0	16468	16533
0	16533	16584
0	16584	16653
0	16653	16718
0	16718	16749
0	16749	16889
0	16889	16939
0	16939	17161
0	17161	17263
0	17263	17297
0	17297	17310
0	17310	17327
0	17327	17499
0	17499	17583
0	17583	17893
0	17893	17979
0	17979	18012
0	18012	18025
0	18025	18043
0	18043	18067
0	18109	18131
0	18177	18309
0	18309	18331
0	18598	18858
0	18858	18898
0	18933	18951
0	19039	19076
0	19076	19258
0	19311	19366
0	19783	19907
0	19907	19958
0	19958	20320
0	20320	20343
0	20588	20612
0	20612	20632
0	20632	20665
